canonical_id,year,seq,suffix,published,source,source_url,wayback_timestamp,local_path,sha256,bytes,pages,low_confidence,fetched_at
2025-046,2025,46,,,wayback,https://web.archive.org/web/20251213104957id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2025/11/Lista-Oficial-Web-465.pdf,20251213104957,pdfs/2025/Lista-Oficial-Web-465.pdf,f87ffe0243bec900149a93694f815d32c3f89689b1ae4aa03210c183bcb37704,3355456,2,False,2026-08-11T01:24:06+00:00
2025-048,2025,48,,,wayback,https://web.archive.org/web/20251213093153id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2025/11/Lista-Oficial-Web-485.pdf,20251213093153,pdfs/2025/Lista-Oficial-Web-485.pdf,7a32c08e51acf864f2cdd5873ea03fa8ccd98a4c86ef4af171ac4d948c93dd5c,3493013,2,False,2026-08-11T01:24:09+00:00
2026-002,2026,2,,,wayback,https://web.archive.org/web/20260124231040id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2026/01/Lista-Oficial-Web-026.pdf,20260124231040,pdfs/2026/Lista-Oficial-Web-026.pdf,be4653ce82a76db69d692e7b3a71c6627e06352aa2f8d1ab7bb3f4b06c733dd3,3525514,2,False,2026-08-11T01:24:11+00:00
2026-005,2026,5,,,wayback,https://web.archive.org/web/20260204101824id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2026/01/Lista-Oficial-Web-056.pdf,20260204101824,pdfs/2026/Lista-Oficial-Web-056.pdf,1abe9f467e919d6c1792a1eefd0466da2b5bea778f7552e92c23386653e3ec0e,3425303,2,False,2026-08-11T01:24:14+00:00
2026-006,2026,6,,2026-02-05,live,https://loteriasdepuertorico.pr.gov/wp-content/uploads/2026/02/Lista-Oficial-Web-066.pdf,,pdfs/2026/Lista-Oficial-Web-066.pdf,112947320a42a77fb4758c5fd7ab1b346cafbcad40f918adeacfce9e80cd52a6,3388461,2,False,2026-08-11T01:09:34+00:00
2026-007S,2026,7,S,2026-02-12,live,https://loteriasdepuertorico.pr.gov/wp-content/uploads/2026/02/Lista-Oficial-Web-076S.pdf,,pdfs/2026/Lista-Oficial-Web-076S.pdf,1d82fa3db722d1568d17d10357208b5a691705d978fc79a694278bdcb3e4d164,3004379,2,False,2026-08-11T01:09:35+00:00
2026-008,2026,8,,2026-02-19,live,https://loteriasdepuertorico.pr.gov/wp-content/uploads/2026/02/Lista-Oficial-Web-086.pdf,,pdfs/2026/Lista-Oficial-Web-086.pdf,d567f750ac15c5de0c76e66e01d20ae3efdb14f10900cb1fe0734a9dfd3fdbfb,3282802,2,False,2026-08-11T01:09:37+00:00
2026-009,2026,9,,2026-02-26,live,https://loteriasdepuertorico.pr.gov/wp-content/uploads/2026/02/Lista-Oficial-Web-096.pdf,,pdfs/2026/Lista-Oficial-Web-096.pdf,1eb3cc3b0a83fa2568ba2aca2bb0831a40c2199d35c33225e0d2bf914bce05cc,3379254,2,False,2026-08-11T01:10:13+00:00
2026-010,2026,10,,2026-03-05,live,https://loteriasdepuertorico.pr.gov/wp-content/uploads/2026/03/Lista-Oficial-Web-106.pdf,,pdfs/2026/Lista-Oficial-Web-106.pdf,751daccc83b7f571b205ea2b773ae1681a30aad3079d6add5b61f807dfe52a39,3389686,2,False,2026-08-11T01:10:15+00:00
2026-011,2026,11,,2026-03-12,live,https://loteriasdepuertorico.pr.gov/wp-content/uploads/2026/03/Lista-Oficial-Web-116.pdf,,pdfs/2026/Lista-Oficial-Web-116.pdf,427337270e9f655ff414c9d0333766a89d0e7e338fe53646110827bda6695dea,3420606,2,False,2026-08-11T01:10:17+00:00
2026-012,2026,12,,2026-03-19,live,https://loteriasdepuertorico.pr.gov/wp-content/uploads/2026/03/Lista-Oficial-Web-126.pdf,,pdfs/2026/Lista-Oficial-Web-126.pdf,2c92378ddffcfbc75d94a22dd179df5ab9c727681e3edf3f114d287bfda4808e,3354910,2,False,2026-08-11T01:24:17+00:00
2026-013,2026,13,,2026-03-26,live,https://loteriasdepuertorico.pr.gov/wp-content/uploads/2026/03/Lista-Oficial-Web-136.pdf,,pdfs/2026/Lista-Oficial-Web-136.pdf,3c791ebfc475330bf9cdd3af4fafe220d6c5b83ca57df552e2d632355216c525,3592538,2,False,2026-08-11T01:24:18+00:00
2026-014,2026,14,,2026-04-01,live,https://loteriasdepuertorico.pr.gov/wp-content/uploads/2026/04/Lista-Oficial-Web-146.pdf,,pdfs/2026/Lista-Oficial-Web-146.pdf,267edb7cc8a7814fa10ecc9b521a34536138b2dee89446c8feabf98aff50080f,3219653,2,False,2026-08-11T01:24:20+00:00
2026-015,2026,15,,2026-04-09,live,https://loteriasdepuertorico.pr.gov/wp-content/uploads/2026/04/Lista-Oficial-Web-156.pdf,,pdfs/2026/Lista-Oficial-Web-156.pdf,d454c88d86078c600413770709502eb4a27b15f104e154a4bcca0e9b2308630d,3449949,2,False,2026-08-11T01:24:21+00:00
2026-016,2026,16,,2026-04-16,live,https://loteriasdepuertorico.pr.gov/wp-content/uploads/2026/04/Lista-Oficial-Web-166.pdf,,pdfs/2026/Lista-Oficial-Web-166.pdf,287ae9d3b4f25b6391c98e32d32fb28085012792da37f9303d1f79b28b869126,3587851,2,False,2026-08-11T01:24:23+00:00
2026-017,2026,17,,2026-04-23,live,https://loteriasdepuertorico.pr.gov/wp-content/uploads/2026/04/Lista-Oficial-Web-176.pdf,,pdfs/2026/Lista-Oficial-Web-176.pdf,1f372a1b6a7a47d05b73cf0c384137e962c582d259707b0d85d2d7eb994d37ed,3497277,2,False,2026-08-11T01:24:27+00:00
2026-018,2026,18,,2026-04-30,live,https://loteriasdepuertorico.pr.gov/wp-content/uploads/2026/04/Lista-Oficial-Web-186.pdf,,pdfs/2026/Lista-Oficial-Web-186.pdf,5782da3e4717d3f37fa429cf283709d1ce38ae2c9283bb1b01c2a4e1cf233ff4,3518056,2,False,2026-08-11T01:24:30+00:00
2026-019X,2026,19,X,2026-05-07,live,https://loteriasdepuertorico.pr.gov/wp-content/uploads/2026/05/Lista-Oficial-Web-196X.pdf,,pdfs/2026/Lista-Oficial-Web-196X.pdf,b15d9a0842c35a04642d65daaaf4a00e00dc8fd0685f5675381592d3408535e5,3682483,2,False,2026-08-11T01:24:36+00:00
2026-020,2026,20,,2026-05-14,live,https://loteriasdepuertorico.pr.gov/wp-content/uploads/2026/05/Lista-Oficial-Web-206.pdf,,pdfs/2026/Lista-Oficial-Web-206.pdf,5f59619c8a52945c7ff5f40002dc1a5bea87f9793bc504585b93c852cb0338b5,3677508,2,False,2026-08-11T01:24:41+00:00
2026-021,2026,21,,2026-05-21,live,https://loteriasdepuertorico.pr.gov/wp-content/uploads/2026/05/Lista-Oficial-Web-216.pdf,,pdfs/2026/Lista-Oficial-Web-216.pdf,cd967bb5818700d41d025b990d61da38e0a9417bcc93132420d40f6d32eeb7c8,3515917,2,False,2026-08-11T01:24:44+00:00
2026-022,2026,22,,2026-05-28,live,https://loteriasdepuertorico.pr.gov/wp-content/uploads/2026/05/Lista-Oficial-Web-226.pdf,,pdfs/2026/Lista-Oficial-Web-226.pdf,755d873a56a25cd6ce7f222da436ba8a686026602f8272bb09d7e70a8c0ce9e9,3602963,2,False,2026-08-11T01:24:48+00:00
2026-023,2026,23,,2026-06-04,live,https://loteriasdepuertorico.pr.gov/wp-content/uploads/2026/06/Lista-Oficial-Web-236.pdf,,pdfs/2026/Lista-Oficial-Web-236.pdf,8f0eab719c6d4d18aad41745545dc9ae9f767a6cb2b650cebb2a25a3a539c5e1,3381331,2,False,2026-08-11T01:24:52+00:00
2026-024,2026,24,,2026-06-11,live,https://loteriasdepuertorico.pr.gov/wp-content/uploads/2026/06/Lista-Oficial-Web-246.pdf,,pdfs/2026/Lista-Oficial-Web-246.pdf,4b4c14658fe04320b0d6b779e66001480bd5db5c0b9960c260faefa4f3c74909,3436458,2,False,2026-08-11T01:24:57+00:00
